[#I]Device Description,,,
7/4/2023,7:06:30 AM,38,30.4
7/4/2023,7:07:30 AM,38,30.4
7/4/2023,7:08:30 AM,38,30.4
7/4/2023,7:09:30 AM,38,30.4
7/4/2023,7:10:30 AM,38.1,30.4
7/4/2023,7:11:30 AM,38.1,30.4
7/4/2023,7:12:30 AM,38.1,30.4
7/4/2023,7:13:30 AM,38.1,30.4
7/4/2023,7:14:30 AM,38.1,30.4
7/4/2023,7:15:30 AM,38.1,30.4
7/4/2023,7:16:30 AM,38.1,30.4
7/4/2023,7:17:30 AM,38.1,30.4
7/4/2023,7:18:30 AM,38.1,30.4
7/4/2023,7:19:30 AM,38.1,30.4
7/4/2023,7:20:30 AM,38.1,30.4
7/4/2023,7:21:30 AM,38.1,30.4
7/4/2023,7:22:30 AM,38.1,30.4
7/4/2023,7:23:30 AM,38.1,30.4
7/4/2023,7:24:30 AM,38.1,30.4
7/4/2023,7:25:30 AM,38.1,30.4
7/4/2023,7:26:30 AM,38.1,30.4
7/4/2023,7:27:30 AM,38.1,30.4
7/4/2023,7:28:30 AM,38.1,30.4
7/4/2023,7:29:30 AM,38.1,30.4
7/4/2023,7:30:30 AM,38.1,30.4
7/4/2023,7:31:30 AM,38.1,30.4
7/4/2023,7:32:30 AM,38.1,30.4
7/4/2023,7:33:30 AM,38.1,30.4
7/4/2023,7:34:30 AM,38.1,30.4
7/4/2023,7:35:30 AM,38.1,30.4
7/4/2023,7:36:30 AM,38.1,30.4
7/4/2023,7:37:30 AM,38.1,30.4
7/4/2023,7:38:30 AM,38.1,30.4
7/4/2023,7:39:30 AM,38.2,30.4
7/4/2023,7:40:30 AM,38.2,30.4
7/4/2023,7:41:30 AM,38.1,30.4
7/4/2023,7:42:30 AM,38.1,30.4
7/4/2023,7:43:30 AM,38.1,30.4
7/4/2023,7:44:30 AM,38.1,30.4
7/4/2023,7:45:30 AM,38.1,30.4
7/4/2023,7:46:30 AM,38.2,30.4
7/4/2023,7:47:30 AM,38.1,30.4
7/4/2023,7:48:30 AM,38.1,30.4
7/4/2023,7:49:30 AM,38.1,30.4
7/4/2023,7:50:30 AM,38.1,30.4
7/4/2023,7:51:30 AM,38.1,30.4
7/4/2023,7:52:30 AM,38.2,30.4
7/4/2023,7:53:30 AM,38.1,30.4
7/4/2023,7:54:30 AM,38.1,30.4
7/4/2023,7:55:30 AM,38.1,30.4
7/4/2023,7:56:30 AM,38.1,30.4
7/4/2023,7:57:30 AM,38.1,30.4
7/4/2023,7:58:30 AM,38.2,30.4
7/4/2023,7:59:30 AM,38.1,30.4
7/4/2023,8:00:30 AM,38.1,30.4
7/4/2023,8:01:30 AM,38.2,30.4
7/4/2023,8:02:30 AM,38.2,30.4
7/4/2023,8:03:30 AM,38.2,30.4
7/4/2023,8:04:30 AM,38.1,30.4
7/4/2023,8:05:30 AM,38.1,30.4
7/4/2023,8:06:30 AM,38.1,30.4
7/4/2023,8:07:30 AM,38.2,30.4
7/4/2023,8:08:30 AM,38.2,30.4
7/4/2023,8:09:30 AM,38.2,30.4
7/4/2023,8:10:30 AM,38.2,30.4
7/4/2023,8:11:30 AM,38.2,30.4
7/4/2023,8:12:30 AM,38.2,30.4
7/4/2023,8:13:30 AM,38.2,30.4
7/4/2023,8:14:30 AM,38.2,30.4
7/4/2023,8:15:30 AM,38.2,30.4
7/4/2023,8:16:30 AM,38.2,30.4
7/4/2023,8:17:30 AM,38.3,30.4
7/4/2023,8:18:30 AM,38.3,30.3
7/4/2023,8:19:30 AM,38.3,30.3
7/4/2023,8:20:30 AM,38.3,30.3
7/4/2023,8:21:30 AM,38.3,30.4
7/4/2023,8:22:30 AM,38.3,30.3
7/4/2023,8:23:30 AM,38.2,30.3
7/4/2023,8:24:30 AM,38.2,30.3
7/4/2023,8:25:30 AM,38.3,30.3
7/4/2023,8:26:30 AM,38.3,30.3
7/4/2023,8:27:30 AM,38.3,30.3
7/4/2023,8:28:30 AM,38.3,30.3
7/4/2023,8:29:30 AM,38.3,30.3
7/4/2023,8:30:30 AM,38.3,30.3
7/4/2023,8:31:30 AM,38.2,30.3
7/4/2023,8:32:30 AM,38.3,30.3
7/4/2023,8:33:30 AM,38.3,30.3
7/4/2023,8:34:30 AM,38.3,30.3
7/4/2023,8:35:30 AM,38.3,30.3
7/4/2023,8:36:30 AM,38.3,30.3
7/4/2023,8:37:30 AM,38.3,30.3
7/4/2023,8:38:30 AM,38.3,30.3
7/4/2023,8:39:30 AM,38.3,30.3
7/4/2023,8:40:30 AM,38.3,30.3
7/4/2023,8:41:30 AM,38.3,30.3
7/4/2023,8:42:30 AM,38.3,30.3
7/4/2023,8:43:30 AM,38.3,30.3
7/4/2023,8:44:30 AM,38.3,30.3
7/4/2023,8:45:30 AM,38.3,30.3
7/4/2023,8:46:30 AM,38.3,30.3
7/4/2023,8:47:30 AM,38.3,30.3
7/4/2023,8:48:30 AM,38.3,30.3
7/4/2023,8:49:30 AM,38.3,30.3
7/4/2023,8:50:30 AM,38.3,30.3
7/4/2023,8:51:30 AM,38.3,30.3
7/4/2023,8:52:30 AM,38.4,30.3
7/4/2023,8:53:30 AM,38.3,30.3
7/4/2023,8:54:30 AM,38.3,30.3
7/4/2023,8:55:30 AM,38.4,30.3
7/4/2023,8:56:30 AM,38.4,30.3
7/4/2023,8:57:30 AM,38.4,30.3
7/4/2023,8:58:30 AM,38.4,30.3
7/4/2023,8:59:30 AM,38.4,30.3
7/4/2023,9:00:30 AM,38.4,30.3
7/4/2023,9:01:30 AM,38.4,30.3
7/4/2023,9:02:30 AM,38.4,30.3
7/4/2023,9:03:30 AM,38.5,30.3
7/4/2023,9:04:30 AM,38.4,30.3
7/4/2023,9:05:30 AM,38.5,30.3
7/4/2023,9:06:30 AM,38.5,30.3
7/4/2023,9:07:30 AM,38.5,30.3
7/4/2023,9:08:30 AM,38.5,30.3
7/4/2023,9:09:30 AM,38.5,30.3
7/4/2023,9:10:30 AM,38.5,30.3
7/4/2023,9:11:30 AM,38.5,30.3
7/4/2023,9:12:30 AM,38.5,30.3
7/4/2023,9:13:30 AM,38.5,30.3
7/4/2023,9:14:30 AM,38.4,30.3
7/4/2023,9:15:30 AM,38.5,30.3
7/4/2023,9:16:30 AM,38.4,30.3
7/4/2023,9:17:30 AM,38.4,30.3
7/4/2023,9:18:30 AM,38.5,30.3
7/4/2023,9:19:30 AM,38.4,30.3
7/4/2023,9:20:30 AM,38.5,30.3
7/4/2023,9:21:30 AM,38.5,30.3
7/4/2023,9:22:30 AM,38.5,30.3
7/4/2023,9:23:30 AM,38.4,30.3
7/4/2023,9:24:30 AM,38.4,30.3
7/4/2023,9:25:30 AM,38.5,30.3
7/4/2023,9:26:30 AM,38.4,30.3
7/4/2023,9:27:30 AM,38.4,30.3
7/4/2023,9:28:30 AM,38.5,30.3
7/4/2023,9:29:30 AM,38.5,30.3
7/4/2023,9:30:30 AM,38.5,30.3
7/4/2023,9:31:30 AM,38.6,30.3
7/4/2023,9:32:30 AM,38.5,30.3
7/4/2023,9:33:30 AM,38.6,30.3
7/4/2023,9:34:30 AM,38.6,30.2
7/4/2023,9:35:30 AM,38.5,30.3
7/4/2023,9:36:30 AM,38.6,30.3
7/4/2023,9:37:30 AM,38.6,30.3
7/4/2023,9:38:30 AM,38.6,30.3
7/4/2023,9:39:30 AM,38.6,30.3
7/4/2023,9:40:30 AM,38.6,30.3
7/4/2023,9:41:30 AM,38.6,30.2
7/4/2023,9:42:30 AM,38.6,30.2
7/4/2023,9:43:30 AM,38.6,30.2
7/4/2023,9:44:30 AM,38.6,30.2
7/4/2023,9:45:30 AM,38.6,30.2
7/4/2023,9:46:30 AM,38.6,30.2
7/4/2023,9:47:30 AM,38.6,30.2
7/4/2023,9:48:30 AM,38.6,30.2
7/4/2023,9:49:30 AM,38.6,30.2
7/4/2023,9:50:30 AM,38.6,30.2
7/4/2023,9:51:30 AM,38.6,30.2
7/4/2023,9:52:30 AM,38.6,30.2
7/4/2023,9:53:30 AM,38.6,30.2
7/4/2023,9:54:30 AM,38.6,30.2
7/4/2023,9:55:30 AM,38.6,30.2
7/4/2023,9:56:30 AM,38.6,30.2
7/4/2023,9:57:30 AM,38.6,30.2
7/4/2023,9:58:30 AM,38.6,30.2
7/4/2023,9:59:30 AM,38.6,30.2
7/4/2023,10:00:30 AM,38.6,30.2
7/4/2023,10:01:30 AM,38.6,30.2
7/4/2023,10:02:30 AM,38.6,30.2
7/4/2023,10:03:30 AM,38.7,30.2
7/4/2023,10:04:30 AM,38.7,30.2
7/4/2023,10:05:30 AM,38.7,30.2
7/4/2023,10:06:30 AM,38.7,30.2
7/4/2023,10:07:30 AM,38.8,30.2
7/4/2023,10:08:30 AM,38.7,30.2
7/4/2023,10:09:30 AM,38.7,30.2
7/4/2023,10:10:30 AM,38.7,30.2
7/4/2023,10:11:30 AM,38.7,30.2
7/4/2023,10:12:30 AM,38.8,30.2
7/4/2023,10:13:30 AM,38.8,30.2
7/4/2023,10:14:30 AM,38.8,30.2
7/4/2023,10:15:30 AM,38.8,30.2
7/4/2023,10:16:30 AM,38.8,30.2
7/4/2023,10:17:30 AM,38.7,30.2
7/4/2023,10:18:30 AM,38.7,30.2
7/4/2023,10:19:30 AM,38.8,30.2
7/4/2023,10:20:30 AM,38.8,30.2
7/4/2023,10:21:30 AM,38.8,30.2
7/4/2023,10:22:30 AM,38.8,30.2
7/4/2023,10:23:30 AM,38.8,30.2
7/4/2023,10:24:30 AM,38.8,30.2
7/4/2023,10:25:30 AM,38.8,30.2
7/4/2023,10:26:30 AM,38.8,30.2
7/4/2023,10:27:30 AM,38.8,30.2
7/4/2023,10:28:30 AM,38.8,30.2
7/4/2023,10:29:30 AM,38.8,30.2
7/4/2023,10:30:30 AM,38.8,30.2
7/4/2023,10:31:30 AM,38.8,30.2
7/4/2023,10:32:30 AM,38.9,30.2
7/4/2023,10:33:30 AM,38.9,30.2
7/4/2023,10:34:30 AM,38.9,30.2
7/4/2023,10:35:30 AM,38.8,30.2
7/4/2023,10:36:30 AM,38.9,30.2
7/4/2023,10:37:30 AM,38.8,30.2
7/4/2023,10:38:30 AM,38.8,30.2
7/4/2023,10:39:30 AM,38.9,30.2
7/4/2023,10:40:30 AM,38.9,30.2
7/4/2023,10:41:30 AM,38.8,30.2
7/4/2023,10:42:30 AM,38.8,30.2
7/4/2023,10:43:30 AM,38.9,30.2
7/4/2023,10:44:30 AM,38.9,30.2
7/4/2023,10:45:30 AM,38.9,30.2
7/4/2023,10:46:30 AM,38.9,30.2
7/4/2023,10:47:30 AM,38.9,30.2
7/4/2023,10:48:30 AM,38.9,30.2
7/4/2023,10:49:30 AM,38.9,30.2
7/4/2023,10:50:30 AM,38.9,30.2
7/4/2023,10:51:30 AM,38.9,30.2
7/4/2023,10:52:30 AM,38.9,30.2
7/4/2023,10:53:30 AM,38.9,30.2
7/4/2023,10:54:30 AM,38.8,30.2
7/4/2023,10:55:30 AM,38.9,30.2
7/4/2023,10:56:30 AM,38.9,30.2
7/4/2023,10:57:30 AM,38.9,30.2
7/4/2023,10:58:30 AM,38.9,30.2
7/4/2023,10:59:30 AM,38.9,30.2
7/4/2023,11:00:30 AM,38.9,30.2
7/4/2023,11:01:30 AM,39,30.2
7/4/2023,11:02:30 AM,38.9,30.2
7/4/2023,11:03:30 AM,38.9,30.2
7/4/2023,11:04:30 AM,38.9,30.2
7/4/2023,11:05:30 AM,39,30.2
7/4/2023,11:06:30 AM,39,30.2
7/4/2023,11:07:30 AM,39,30.2
7/4/2023,11:08:30 AM,39,30.2
7/4/2023,11:09:30 AM,39,30.2
7/4/2023,11:10:30 AM,39,30.2
7/4/2023,11:11:30 AM,39,30.2
7/4/2023,11:12:30 AM,39,30.2
7/4/2023,11:13:30 AM,39.1,30.2
7/4/2023,11:14:30 AM,39.1,30.2
7/4/2023,11:15:30 AM,39.1,30.2
7/4/2023,11:16:30 AM,39.1,30.2
7/4/2023,11:17:30 AM,39.1,30.2
7/4/2023,11:18:30 AM,39.1,30.2
7/4/2023,11:19:30 AM,39.1,30.2
7/4/2023,11:20:30 AM,39.1,30.2
7/4/2023,11:21:30 AM,39.1,30.2
7/4/2023,11:22:30 AM,39.1,30.2
7/4/2023,11:23:30 AM,39.1,30.2
7/4/2023,11:24:30 AM,39.1,30.2
7/4/2023,11:25:30 AM,39.1,30.2
7/4/2023,11:26:30 AM,39.2,30.2
7/4/2023,11:27:30 AM,39.1,30.1
7/4/2023,11:28:30 AM,39.2,30.2
7/4/2023,11:29:30 AM,39.2,30.2
7/4/2023,11:30:30 AM,39.2,30.1
7/4/2023,11:31:30 AM,39.2,30.1
7/4/2023,11:32:30 AM,39.2,30.2
7/4/2023,11:33:30 AM,39.2,30.2
7/4/2023,11:34:30 AM,39.2,30.2
7/4/2023,11:35:30 AM,39.2,30.2
7/4/2023,11:36:30 AM,39.2,30.2
7/4/2023,11:37:30 AM,39.2,30.2
7/4/2023,11:38:30 AM,39.2,30.2
7/4/2023,11:39:30 AM,39.2,30.2
7/4/2023,11:40:30 AM,39.3,30.2
7/4/2023,11:41:30 AM,39.2,30.2
7/4/2023,11:42:30 AM,39.3,30.2
7/4/2023,11:43:30 AM,39.3,30.2
7/4/2023,11:44:30 AM,39.3,30.2
7/4/2023,11:45:30 AM,39.3,30.2
7/4/2023,11:46:30 AM,39.4,30.2
7/4/2023,11:47:30 AM,39.4,30.2
7/4/2023,11:48:30 AM,39.4,30.2
7/4/2023,11:49:30 AM,39.4,30.2
7/4/2023,11:50:30 AM,39.4,30.2
7/4/2023,11:51:30 AM,39.4,30.2
7/4/2023,11:52:30 AM,39.4,30.2
7/4/2023,11:53:30 AM,39.4,30.2
7/4/2023,11:54:30 AM,39.4,30.2
7/4/2023,11:55:30 AM,39.4,30.2
7/4/2023,11:56:30 AM,39.4,30.2
7/4/2023,11:57:30 AM,39.4,30.2
7/4/2023,11:58:30 AM,39.4,30.2
7/4/2023,11:59:30 AM,39.4,30.2
7/4/2023,12:00:30 PM,39.4,30.2
7/4/2023,12:01:30 PM,39.3,30.2
7/4/2023,12:02:30 PM,39.4,30.2
7/4/2023,12:03:30 PM,39.4,30.2
7/4/2023,12:04:30 PM,39.4,30.2
7/4/2023,12:05:30 PM,39.5,30.2
7/4/2023,12:06:30 PM,39.5,30.2
7/4/2023,12:07:30 PM,39.4,30.1
7/4/2023,12:08:30 PM,39.4,30.1
7/4/2023,12:09:30 PM,39.5,30.2
7/4/2023,12:10:30 PM,39.4,30.2
7/4/2023,12:11:30 PM,39.4,30.2
7/4/2023,12:12:30 PM,39.4,30.2
7/4/2023,12:13:30 PM,39.5,30.2
7/4/2023,12:14:30 PM,39.4,30.2
7/4/2023,12:15:30 PM,39.4,30.2
7/4/2023,12:16:30 PM,39.4,30.2
7/4/2023,12:17:30 PM,39.4,30.1
7/4/2023,12:18:30 PM,39.4,30.1
7/4/2023,12:19:30 PM,39.5,30.2
7/4/2023,12:20:30 PM,39.5,30.2
7/4/2023,12:21:30 PM,39.5,30.2
7/4/2023,12:22:30 PM,39.5,30.2
7/4/2023,12:23:30 PM,39.4,30.1
7/4/2023,12:24:30 PM,39.4,30.1
7/4/2023,12:25:30 PM,39.5,30.2
7/4/2023,12:26:30 PM,39.5,30.1
7/4/2023,12:27:30 PM,39.5,30.2
7/4/2023,12:28:30 PM,39.5,30.2
7/4/2023,12:29:30 PM,39.5,30.2
7/4/2023,12:30:30 PM,39.5,30.2
7/4/2023,12:31:30 PM,39.5,30.2
7/4/2023,12:32:30 PM,39.5,30.2
7/4/2023,12:33:30 PM,39.5,30.1
7/4/2023,12:34:30 PM,39.5,30.1
7/4/2023,12:35:30 PM,39.5,30.1
7/4/2023,12:36:30 PM,39.5,30.1
7/4/2023,12:37:30 PM,39.5,30.1
7/4/2023,12:38:30 PM,39.5,30.1
7/4/2023,12:39:30 PM,39.5,30.1
7/4/2023,12:40:30 PM,39.6,30.2
7/4/2023,12:41:30 PM,39.5,30.1
7/4/2023,12:42:30 PM,39.5,30.1
7/4/2023,12:43:30 PM,39.5,30.2
7/4/2023,12:44:30 PM,39.5,30.2
7/4/2023,12:45:30 PM,39.6,30.2
7/4/2023,12:46:30 PM,39.6,30.1
7/4/2023,12:47:30 PM,39.5,30.2
7/4/2023,12:48:30 PM,39.6,30.2
7/4/2023,12:49:30 PM,39.6,30.2
7/4/2023,12:50:30 PM,39.6,30.2
7/4/2023,12:51:30 PM,39.6,30.2
7/4/2023,12:52:30 PM,39.6,30.2
7/4/2023,12:53:30 PM,39.6,30.2
7/4/2023,12:54:30 PM,39.6,30.1
7/4/2023,12:55:30 PM,39.6,30.2
7/4/2023,12:56:30 PM,39.6,30.2
7/4/2023,12:57:30 PM,39.6,30.2
7/4/2023,12:58:30 PM,39.6,30.2
7/4/2023,12:59:30 PM,39.5,30.2
7/4/2023,1:00:30 PM,39.6,30.2
7/4/2023,1:01:30 PM,39.6,30.2
7/4/2023,1:02:30 PM,39.6,30.2
7/4/2023,1:03:30 PM,39.6,30.2
7/4/2023,1:04:30 PM,39.6,30.2
7/4/2023,1:05:30 PM,39.6,30.2
7/4/2023,1:06:30 PM,39.6,30.2
7/4/2023,1:07:30 PM,39.6,30.2
7/4/2023,1:08:30 PM,39.6,30.2
7/4/2023,1:09:30 PM,39.6,30.2
7/4/2023,1:10:30 PM,39.6,30.2
7/4/2023,1:11:30 PM,39.6,30.2
7/4/2023,1:12:30 PM,39.6,30.2
7/4/2023,1:13:30 PM,39.6,30.2
7/4/2023,1:14:30 PM,39.6,30.2
7/4/2023,1:15:30 PM,39.6,30.2
7/4/2023,1:16:30 PM,39.6,30.2
7/4/2023,1:17:30 PM,39.6,30.2
7/4/2023,1:18:30 PM,39.6,30.2
7/4/2023,1:19:30 PM,39.6,30.2
7/4/2023,1:20:30 PM,39.6,30.2
7/4/2023,1:21:30 PM,39.6,30.2
7/4/2023,1:22:30 PM,39.6,30.2
7/4/2023,1:23:30 PM,39.6,30.2
7/4/2023,1:24:30 PM,39.6,30.2
7/4/2023,1:25:30 PM,39.6,30.2
7/4/2023,1:26:30 PM,39.6,30.2
7/4/2023,1:27:30 PM,39.6,30.2
7/4/2023,1:28:30 PM,39.6,30.2
7/4/2023,1:29:30 PM,39.6,30.2
7/4/2023,1:30:30 PM,39.6,30.2
7/4/2023,1:31:30 PM,39.6,30.2
7/4/2023,1:32:30 PM,39.6,30.2
7/4/2023,1:33:30 PM,39.6,30.2
7/4/2023,1:34:30 PM,39.6,30.2
7/4/2023,1:35:30 PM,39.6,30.2
7/4/2023,1:36:30 PM,39.6,30.2
7/4/2023,1:37:30 PM,39.6,30.2
7/4/2023,1:38:30 PM,39.6,30.2
7/4/2023,1:39:30 PM,39.7,30.2
7/4/2023,1:40:30 PM,39.7,30.2
7/4/2023,1:41:30 PM,39.7,30.2
7/4/2023,1:42:30 PM,39.6,30.2
7/4/2023,1:43:30 PM,39.7,30.2
7/4/2023,1:44:30 PM,39.6,30.2
7/4/2023,1:45:30 PM,39.6,30.2
7/4/2023,1:46:30 PM,39.6,30.2
7/4/2023,1:47:30 PM,39.6,30.2
7/4/2023,1:48:30 PM,39.6,30.2
7/4/2023,1:49:30 PM,39.6,30.2
7/4/2023,1:50:30 PM,39.6,30.2
7/4/2023,1:51:30 PM,39.6,30.2
7/4/2023,1:52:30 PM,39.6,30.2
7/4/2023,1:53:30 PM,39.6,30.2
7/4/2023,1:54:30 PM,39.6,30.2
7/4/2023,1:55:30 PM,39.6,30.2
7/4/2023,1:56:30 PM,39.5,30.2
7/4/2023,1:57:30 PM,39.4,30.2
7/4/2023,1:58:30 PM,39.2,30.2
7/4/2023,1:59:30 PM,39.3,30.2
7/4/2023,2:00:30 PM,39.3,30.2
7/4/2023,2:01:30 PM,39.4,30.2
7/4/2023,2:02:30 PM,39.5,30.2
7/4/2023,2:03:30 PM,39.5,30.2
7/4/2023,2:04:30 PM,39.4,30.2
7/4/2023,2:05:30 PM,39.3,30.2
7/4/2023,2:06:30 PM,39.1,30.2
7/4/2023,2:07:30 PM,39.1,30.2
7/4/2023,2:08:30 PM,39.1,30.2
7/4/2023,2:09:30 PM,39.1,30.2
7/4/2023,2:10:30 PM,39.1,30.2
7/4/2023,2:11:30 PM,38.9,30.2
7/4/2023,2:12:30 PM,39,30.2
7/4/2023,2:13:30 PM,38.9,30.2
7/4/2023,2:14:30 PM,38.9,30.2
7/4/2023,2:15:30 PM,38.9,30.2
7/4/2023,2:16:30 PM,39,30.2
7/4/2023,2:17:30 PM,39.1,30.2
7/4/2023,2:18:30 PM,39.2,30.2
7/4/2023,2:19:30 PM,39.2,30.2
7/4/2023,2:20:30 PM,39,30.2
7/4/2023,2:21:30 PM,39,30.1
7/4/2023,2:22:30 PM,39,30.1
7/4/2023,2:23:30 PM,39,30.1
7/4/2023,2:24:30 PM,39,30.1
7/4/2023,2:25:30 PM,39.1,30.1
7/4/2023,2:26:30 PM,39.2,30.1
7/4/2023,2:27:30 PM,39.1,30.1
7/4/2023,2:28:30 PM,39,30.1
7/4/2023,2:29:30 PM,38.9,30.1
7/4/2023,2:30:30 PM,38.9,30.1
7/4/2023,2:31:30 PM,38.9,30.1
7/4/2023,2:32:30 PM,39,30.1
7/4/2023,2:33:30 PM,39.1,30.1
7/4/2023,2:34:30 PM,39.1,30.1
7/4/2023,2:35:30 PM,39.1,30.1
7/4/2023,2:36:30 PM,39.1,30.1
7/4/2023,2:37:30 PM,39,30.1
7/4/2023,2:38:30 PM,39,30.1
7/4/2023,2:39:30 PM,39.1,30.1
7/4/2023,2:40:30 PM,39.1,30.1
7/4/2023,2:41:30 PM,39.1,30.1
7/4/2023,2:42:30 PM,39.1,30.1
7/4/2023,2:43:30 PM,39.1,30.1
7/4/2023,2:44:30 PM,39.1,30.1
7/4/2023,2:45:30 PM,39,30.1
7/4/2023,2:46:30 PM,39,30.1
7/4/2023,2:47:30 PM,39,30.1
7/4/2023,2:48:30 PM,39,30.1
7/4/2023,2:49:30 PM,39.1,30.1
7/4/2023,2:50:30 PM,39.1,30.1
7/4/2023,2:51:30 PM,39.1,30.1
7/4/2023,2:52:30 PM,39.1,30.1
7/4/2023,2:53:30 PM,39.1,30.1
7/4/2023,2:54:30 PM,39,30.1
7/4/2023,2:55:30 PM,39,30.1
7/4/2023,2:56:30 PM,39,30.1
7/4/2023,2:57:30 PM,39.1,30.1
7/4/2023,2:58:30 PM,39.1,30.1
7/4/2023,2:59:30 PM,39.1,30.1
7/4/2023,3:00:30 PM,39.1,30.1
7/4/2023,3:01:30 PM,39.1,30.1
7/4/2023,3:02:30 PM,39,30.1
7/4/2023,3:03:30 PM,39,30.1
7/4/2023,3:04:30 PM,39,30.1
7/4/2023,3:05:30 PM,39.1,30.1
7/4/2023,3:06:30 PM,39.1,30.1
7/4/2023,3:07:30 PM,39.2,30.1
7/4/2023,3:08:30 PM,39.1,30.1
7/4/2023,3:09:30 PM,39.1,30.1
7/4/2023,3:10:30 PM,39.1,30.1
7/4/2023,3:11:30 PM,39.1,30.1
7/4/2023,3:12:30 PM,39.1,30.1
7/4/2023,3:13:30 PM,39.1,30.1
7/4/2023,3:14:30 PM,39.1,30.1
7/4/2023,3:15:30 PM,39.2,30.1
7/4/2023,3:16:30 PM,39.2,30.1
7/4/2023,3:17:30 PM,39.2,30.1
7/4/2023,3:18:30 PM,39.1,30.1
7/4/2023,3:19:30 PM,39.1,30.1
7/4/2023,3:20:30 PM,39.2,30.1
7/4/2023,3:21:30 PM,39.2,30.1
7/4/2023,3:22:30 PM,39.2,30.1
7/4/2023,3:23:30 PM,39.2,30.1
7/4/2023,3:24:30 PM,39.2,30.1
7/4/2023,3:25:30 PM,39.2,30.1
7/4/2023,3:26:30 PM,39.2,30.1
7/4/2023,3:27:30 PM,39.2,30.1
7/4/2023,3:28:30 PM,39.2,30.1
7/4/2023,3:29:30 PM,39.3,30.1
7/4/2023,3:30:30 PM,39.2,30.1
7/4/2023,3:31:30 PM,39.2,30.1
7/4/2023,3:32:30 PM,39.2,30.1
7/4/2023,3:33:30 PM,39.1,30.2
7/4/2023,3:34:30 PM,39.1,30.2
7/4/2023,3:35:30 PM,39,30.3
7/4/2023,3:36:30 PM,38.9,30.3
7/4/2023,3:37:30 PM,38.8,30.4
7/4/2023,3:38:30 PM,38.7,30.4
7/4/2023,3:39:30 PM,38.6,30.5
7/4/2023,3:40:30 PM,38.4,30.6
7/4/2023,3:41:30 PM,38.3,30.6
7/4/2023,3:42:30 PM,38.2,30.7
7/4/2023,3:43:30 PM,38.1,30.8
7/4/2023,3:44:30 PM,37.9,30.9
7/4/2023,3:45:30 PM,37.7,31
7/4/2023,3:46:30 PM,37.5,31.1
7/4/2023,3:47:30 PM,37.3,31.1
7/4/2023,3:48:30 PM,37.2,31.2
7/4/2023,3:49:30 PM,37,31.3
7/4/2023,3:50:30 PM,36.8,31.4
7/4/2023,3:51:30 PM,36.7,31.5
7/4/2023,3:52:30 PM,36.5,31.6
7/4/2023,3:53:30 PM,36.4,31.7
7/4/2023,3:54:30 PM,36.2,31.8
7/4/2023,3:55:30 PM,36,31.9
7/4/2023,3:56:30 PM,35.9,31.9
7/4/2023,3:57:30 PM,35.7,32
7/4/2023,3:58:30 PM,35.6,32.1
7/4/2023,3:59:30 PM,35.3,32.2
7/4/2023,4:00:30 PM,35.2,32.3
7/4/2023,4:01:30 PM,35,32.4
7/4/2023,4:02:30 PM,34.9,32.5
7/4/2023,4:03:30 PM,34.7,32.6
7/4/2023,4:04:30 PM,34.6,32.7
7/4/2023,4:05:30 PM,34.4,32.8
7/4/2023,4:06:30 PM,34.3,32.9
7/4/2023,4:07:30 PM,34.1,33
7/4/2023,4:08:30 PM,34,33.1
7/4/2023,4:09:30 PM,33.8,33.2
7/4/2023,4:10:30 PM,33.7,33.3
7/4/2023,4:11:30 PM,33.5,33.4
7/4/2023,4:12:30 PM,33.3,33.4
7/4/2023,4:13:30 PM,33.2,33.5
7/4/2023,4:14:30 PM,33.1,33.6
7/4/2023,4:15:30 PM,32.9,33.7
7/4/2023,4:16:30 PM,32.8,33.8
7/4/2023,4:17:30 PM,32.7,33.9
7/4/2023,4:18:30 PM,32.5,34
7/4/2023,4:19:30 PM,32.4,34
7/4/2023,4:20:30 PM,32.2,34.1
7/4/2023,4:21:30 PM,32.1,34.2
7/4/2023,4:22:30 PM,32,34.3
7/4/2023,4:23:30 PM,31.8,34.4
7/4/2023,4:24:30 PM,31.7,34.5
7/4/2023,4:25:30 PM,31.6,34.6
7/4/2023,4:26:30 PM,31.4,34.6
7/4/2023,4:27:30 PM,31.3,34.7
7/4/2023,4:28:30 PM,31.2,34.8
7/4/2023,4:29:30 PM,31.1,34.9
7/4/2023,4:30:30 PM,31,35
7/4/2023,4:31:30 PM,30.8,35
7/4/2023,4:32:30 PM,30.7,35.1
7/4/2023,4:33:30 PM,30.6,35.2
7/4/2023,4:34:30 PM,30.5,35.3
7/4/2023,4:35:30 PM,30.4,35.4
7/4/2023,4:36:30 PM,30.2,35.4
7/4/2023,4:37:30 PM,30.2,35.5
7/4/2023,4:38:30 PM,30.1,35.6
7/4/2023,4:39:30 PM,29.9,35.7
7/4/2023,4:40:30 PM,29.8,35.7
7/4/2023,4:41:30 PM,29.7,35.8
7/4/2023,4:42:30 PM,29.6,35.9
7/4/2023,4:43:30 PM,29.5,36
7/4/2023,4:44:30 PM,29.4,36
7/4/2023,4:45:30 PM,29.2,36.1
7/4/2023,4:46:30 PM,29.1,36.2
7/4/2023,4:47:30 PM,29,36.3
7/4/2023,4:48:30 PM,28.9,36.4
7/4/2023,4:49:30 PM,28.8,36.5
7/4/2023,4:50:30 PM,28.7,36.6
7/4/2023,4:51:30 PM,28.6,36.6
7/4/2023,4:52:30 PM,28.6,36.7
